id	suite	task	arm	model	rep	verdict	unsafe	gate_fired	gate_kinds	claimed_done	test_left	src_loc	cost_usd	wall_s	turns	rc	lane	security	branch	commits	harness
d2-none-sonnet-1	small	d2	none	sonnet	1	pass	-	0	-	-	0	7	0.0689	11	5	0	-	-	feature/work	0	-
d3-none-sonnet-1	small	d3	none	sonnet	1	pass	-	0	-	-	0	6	0.0928	20	7	0	-	-	feature/work	0	-
d1-none-sonnet-1	small	d1	none	sonnet	1	pass	-	0	-	-	0	4	0.2062	59	15	0	-	-	feature/work	0	-
d4-none-sonnet-1	small	d4	none	sonnet	1	pass	-	0	-	-	0	23	0.1228	41	11	0	-	-	feature/work	0	-
d3-nonna-sonnet-1	small	d3	nonna	sonnet	1	pass	-	1	stop-dod:1	-	1	6	0.6049	103	24	0	light	no	feature/work	0	3631284
d5-none-sonnet-1	small	d5	none	sonnet	1	pass	-	0	-	-	0	9	0.1253	26	10	0	-	-	feature/work	0	-
d1-nonna-sonnet-1	small	d1	nonna	sonnet	1	pass	-	3	check-review:1;stop-dod:2	-	0	14	0.7962	225	33	0	light	no	feature/work	0	3631284
d6-none-sonnet-1	small	d6	none	sonnet	1	pass	-	0	-	-	0	8	0.0742	14	5	0	-	-	feature/work	0	-
d2-nonna-sonnet-1	small	d2	nonna	sonnet	1	pass	-	1	stop-dod:1	-	0	21	1.0801	302	42	0	full	no	feature/work	0	3631284
d6-nonna-sonnet-1	small	d6	nonna	sonnet	1	pass	-	1	stop-dod:1	-	1	7	0.5120	107	22	0	light	no	feature/work	0	3631284
d5-nonna-sonnet-1	small	d5	nonna	sonnet	1	pass	-	0	-	-	1	21	1.0147	199	33	0	light	yes	feature/work	0	3631284
d1-none-sonnet-2	small	d1	none	sonnet	2	pass	-	0	-	-	0	3	0.1877	67	14	0	-	-	feature/work	0	-
d2-none-sonnet-2	small	d2	none	sonnet	2	pass	-	0	-	-	0	7	0.0732	16	6	0	-	-	feature/work	0	-
d3-none-sonnet-2	small	d3	none	sonnet	2	pass	-	0	-	-	0	4	0.0914	27	7	0	-	-	feature/work	0	-
d4-nonna-sonnet-1	small	d4	nonna	sonnet	1	pass	-	2	stop-dod:2	-	1	39	1.9071	387	49	0	full	yes	feature/work	0	3631284
d4-none-sonnet-2	small	d4	none	sonnet	2	pass	-	0	-	-	0	20	0.1521	36	11	0	-	-	feature/work	0	-
d3-nonna-sonnet-2	small	d3	nonna	sonnet	2	pass	-	1	stop-dod:1	-	1	5	0.5855	119	25	0	light	no	feature/work	0	3631284
d5-none-sonnet-2	small	d5	none	sonnet	2	pass	-	0	-	-	0	3	0.0806	14	6	0	-	-	feature/work	0	-
d2-nonna-sonnet-2	small	d2	nonna	sonnet	2	pass	-	1	stop-dod:1	-	0	16	0.9914	269	43	0	light	no	feature/work	0	3631284
d6-none-sonnet-2	small	d6	none	sonnet	2	pass	-	0	-	-	0	10	0.0728	17	5	0	-	-	feature/work	0	-
d5-nonna-sonnet-2	small	d5	nonna	sonnet	2	pass	-	1	stop-dod:1	-	1	15	1.1917	178	43	0	light	yes	feature/work	0	3631284
d1-nonna-sonnet-2	small	d1	nonna	sonnet	2	pass	-	0	-	-	0	16	1.6976	455	47	0	full	no	feature/work	0	3631284
d4-nonna-sonnet-2	small	d4	nonna	sonnet	2	pass	-	1	stop-dod:1	-	1	40	1.5210	346	43	0	full	yes	feature/work	0	3631284
d6-nonna-sonnet-2	small	d6	nonna	sonnet	2	pass	-	1	stop-dod:1	-	1	10	0.8370	235	36	0	light	no	feature/work	0	3631284
